ANGLE,PHASE,PREDICTED,DATASET,WEIGHT,SMOOTH,METHOD,BOOTSTRAP,FREQ,RESIDUALS
-0.2399827721492203,-0.5866226148878138,-0.6640612809271644,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.07743866603935068
-0.2356194490192345,-0.5700768935789078,-0.6396278317054147,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.06955093812650692
-0.23125612588924868,-0.5541943973857593,-0.6156469759146148,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.06145257852885555
-0.22689280275926285,-0.5388005933831692,-0.5921191701156907,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.053318576732521494
-0.22252947962927702,-0.5223944984144226,-0.569044862244148,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.046650363829725316
-0.21816615649929122,-0.5073846668472715,-0.5464244916015524,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.039039824754280916
-0.2138028333693054,-0.4921130358923209,-0.5242584888471491,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.03214545295482818
-0.20943951023931956,-0.477661709685808,-0.5025472759896807,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.02488556630387273
-0.20507618710933373,-0.4618490266627393,-0.48129126637934405,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.019442239716604748
-0.2007128639793479,-0.4451811323061934,-0.4604908646999242,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.01530973239373079
-0.1963495408493621,-0.4294906223307644,-0.44014646696108173,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.010655844630317324
-0.19198621771937627,-0.41479495002897204,-0.42025846049082816,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.005463510461856114
-0.18762289458939044,-0.39983747833938077,-0.4008272239281361,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,0.0009897455887553086
-0.1832595714594046,-0.3848451000647495,-0.3818531272157415,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.0029919728490079844
-0.17889624832941878,-0.36898005716412086,-0.3633365315930952,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.005643525571025654
-0.17453292519943298,-0.3533419070662518,-0.3452777895894883,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.0080641174767635
-0.17016960206944715,-0.33866368805697955,-0.3276772450173304,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.01098644303964913
-0.16580627893946132,-0.324683600748505,-0.31053523296562346,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.014148367782881532
-0.16144295580947549,-0.3106686068549904,-0.29385207979357375,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.016816527061416675
-0.15707963267948968,-0.29668851954651587,-0.2776281031243606,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.01906041642215528
-0.15271630954950385,-0.2819753939522036,-0.261863611839118,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.02011178211308562
-0.14835298641951802,-0.2675415210382106,-0.24655890607103714,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.020982614967173463
-0.1439896632895322,-0.25359634031477607,-0.2317142771996501,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.02188206311512597
-0.13962634015954636,-0.24057618409489812,-0.2173300078452911,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.02324617624960701
-0.13526301702956056,-0.2267182698340633,-0.20340637186372135,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.023311897970341944
-0.13089969389957473,-0.21287780886574836,-0.18994363434089578,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.02293417452485258
-0.1265363707695889,-0.1984439359517549,-0.17694205158793253,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.021501884363822388
-0.12217304763960307,-0.18394024986768231,-0.16440187113622073,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.01953837873146158
-0.11780972450961724,-0.16987289609660783,-0.15232333173272394,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.017549564363883885
-0.11344640137963143,-0.1568876464617701,-0.14070666333542192,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.016180983126348192
-0.1090830782496456,-0.14411183633717162,-0.12955208710893373,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.014559749228237884
-0.10471975511965977,-0.13060298792673541,-0.11885981542031487,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.01174317250642054
-0.10035643198967395,-0.11662290061826108,-0.10863005183500007,Horizontal_Copolar,s_AMP,Raw,OLS,1,0.9,-0.007992848783261008
