DATASET,WEIGHT,SMOOTH,FREQ,METHOD,ANGLE,PHASE,PREDICTED
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.2399827721492203,-0.5866226148878138,-0.6119709101422579
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.2356194490192345,-0.5700768935789078,-0.5912482610124421
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.23125612588924868,-0.5541943973857593,-0.5709160800844195
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.22689280275926285,-0.5388005933831692,-0.5509380097840264
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.22252947962927702,-0.5223944984144226,-0.531041362208466
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.21816615649929122,-0.5073846668472715,-0.5116728290816326
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.2138028333693054,-0.4921130358923209,-0.49253463181432977
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.20943951023931956,-0.477661709685808,-0.4738165812989692
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.20507618710933373,-0.4618490266627393,-0.4551649085749716
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.2007128639793479,-0.4451811323061934,-0.43668717090586284
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.1963495408493621,-0.4294906223307644,-0.4186766039029912
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.19198621771937627,-0.41479495002897204,-0.40112693974293734
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.18762289458939044,-0.39983747833938077,-0.383856576586858
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.1832595714594046,-0.3848451000647495,-0.3669070299849544
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.17889624832941878,-0.36898005716412086,-0.350179937028674
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.17453292519943298,-0.3533419070662518,-0.3338299943626346
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.17016960206944715,-0.33866368805697955,-0.31794560728717514
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.16580627893946132,-0.324683600748505,-0.30248964304548664
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.16144295580947549,-0.3106686068549904,-0.28738074581070094
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.15707963267948968,-0.29668851954651587,-0.27263334339069445
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.15271630954950385,-0.2819753939522036,-0.25818033206553537
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.14835298641951802,-0.2675415210382106,-0.24413089797743126
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.1439896632895322,-0.25359634031477607,-0.23050517196249132
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.13962634015954636,-0.24057618409489812,-0.2173374579420262
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.13526301702956056,-0.2267182698340633,-0.20448645105329177
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.13089969389957473,-0.21287780886574836,-0.1920308817306342
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.1265363707695889,-0.1984439359517549,-0.1799351146833139
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.12217304763960307,-0.18394024986768231,-0.16824501319660712
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.11780972450961724,-0.16987289609660783,-0.15699558158372895
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.11344640137963143,-0.1568876464617701,-0.14622043658508943
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.1090830782496456,-0.14411183633717162,-0.13586692026442648
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.10471975511965977,-0.13060298792673541,-0.1258933802258433
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.10035643198967395,-0.11662290061826108,-0.11632303554011614
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.09599310885968812,-0.10140362954087045,-0.10713469192694447
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.0916297857297023,-0.08709192967451695,-0.09841893880171071
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.08726646259971647,-0.07367034772668046,-0.09016749091856724
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.08290313946973066,-0.0611388836973612,-0.08237319404078747
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.07853981633974483,-0.04897393881096068,-0.07501608664552961
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.074176493209759,-0.03811799086355605,-0.06811554752089322
Horizontal_Copolar,Amplitude,False,0.9,ODR,-0.06981317007977318,-0.029059732045705333,-0.06167172481738703
